title,date,price,is_discounted,locals,surface,bathrooms,floor
"Quadrilocale via Marco Polo 32, Crocetta, Torino",15/12/2022,€ 389.000,0,4,119 m²,2,
"Appartamento via Enrico Cialdini 15, Cit Turin, Torino",01/10/2022,€ 269.000,0,5,161 m²,2,
"Appartamento corso Trapani 72, Pozzo Strada, Torino",29/11/2022,€ 127.000,0,5+,180 m²,2,5
"Quadrilocale via Luigi Salvatore Cherubini 41, Barriera di Milano, Torino",22/11/2022,€ 100.000,0,4,112 m²,1,6
"Appartamento Strada Val Salice 227/7, Colle della Maddalena, Torino",10/10/2022,€ 395.000,0,5,240 m²,3,1
"Bilocale via Giovanni Zambelli 12, Mirafiori Nord, Torino",30/11/2022,€ 79.000,0,2,60 m²,1,4
"Appartamento corso Massimo d'Azeglio 112, San Salvario - Dante, Torino",23/12/2022,€ 680.000,0,5+,205 m²,2,7
"Appartamento via Bertola 23, Quadrilatero Romano, Torino",16/12/2022,€ 445.000,0,5,123 m²,2,2
"Bilocale via Antonio Giuseppe Ignazio Bertola 24, Quadrilatero Romano, Torino",10/10/2022,€ 265.000,0,2,65 m²,1,1
"Terratetto plurifamiliare via Michele Lessona 20, Parella, Torino",18/11/2022,€ 900.000,0,5+,608 m²,3+,
"Trilocale via Piacenza 9, Mirafiori Sud - Onorato Vigliani, Torino",28/11/2022,€ 142.000,0,3,88 m²,1,1
"Appartamento corso Peschiera, Pozzo Strada, Torino",07/12/2022,€ 650.000,0,5,176 m²,3,6
"Appartamento via 20 Settembre 43, Via Roma, Torino",10/10/2022,€ 755.000,0,5,152 m²,2,2
"Trilocale via 20 Settembre 41, Via Roma, Torino",10/10/2022,€ 871.000,0,3,134 m²,1,4
"Trilocale via 20 Settembre 41, Via Roma, Torino",10/10/2022,€ 895.000,0,3,148 m²,2,5
"Trilocale via via BURONZO 3, Campidoglio, Torino",15/12/2022,€ 98.000,0,3,76 m²,1,2
"Monolocale via Cesare Battisti 1, Via Roma, Torino",16/11/2022,€ 260.000,0,1,60 m²,1,2
"Bilocale via Chisola, Lingotto, Torino",01/12/2022,€ 148.000,0,2,55 m²,1,1
"Quadrilocale via Vicenza 27, Don Bosco, Torino",30/11/2022,€ 95.000,0,4,83 m²,1,3
"Trilocale via Santa Chiara, Quadrilatero Romano, Torino",15/06/2022,€ 379.000,0,3,133 m²,1,T
"Appartamento via Giovanni Fattori, Pozzo Strada, Torino",16/10/2022,€ 512.000,0,5,133 m²,2,
"Bilocale via Bertola 24, Quadrilatero Romano, Torino",10/10/2022,€ 235.000,0,2,48 m²,1,1
"Bilocale ottimo stato, nono piano, Mirafiori Sud - Strada del Drosso, Torino",28/11/2022,€ 120.000,0,2,67 m²,1,
"Trilocale corso Moncalieri 271, Cavoretto, Torino",19/01/2022,€ 335.000,0,3,87 m²,1,3
"Bilocale corso Grosseto 118, Borgo Vittoria, Torino",30/11/2022,€ 57.000,0,2,50 m²,1,7
"Bilocale via Bertola 24, Quadrilatero Romano, Torino",10/10/2022,€ 255.000,0,2,55 m²,1,1
"Quadrilocale via Passalacqua 3, Cittadella, Torino",12/12/2022,€ 399.000,0,4,130 m²,2,2
"Quadrilocale via dell'Accademia Albertina 3, Via della Rocca, Torino",30/12/2022,€ 440.000,0,4,120 m²,2,2
"Trilocale via Francesco Cigna 58, Aurora, Torino",22/04/2022,€ 79.000,0,3,83 m²,1,1
"Trilocale via Nicola Fabrizi 140, Parella, Torino",30/11/2022,€ 175.000,0,3,78 m²,1,2
"Quadrilocale corso Tortona 17, Vanchiglia, Torino",01/12/2022,€ 259.000,0,4,95 m²,1,2
